pageid,title,wikidata,label
3271812,Hamat Bah,Q1572664,Hamat Bah
3289542,Fabakary Jatta,Q1390067,Fabakary Jatta
15288684,Hassan Bubacar Jallow,Q176771,Hassan Bubacar Jallow
48807415,Mambury Njie,Q22006596,Mambury Njie
52379828,Adama Barrow,Q27917049,Adama Barrow
53021858,Sheikh Omar Faye,Q2277755,Sheikh Omar Faye
53295502,Claudiana Cole,Q28836800,Claudiana Cole
53328955,Badara Joof,Q28843913,Badara Joof
53450506,Yankuba Sonko,Q28531806,Yankuba Sonko
54303258,Fafa Sanyang,Q29437065,Fafa Sanyang
54405138,Yankuba Drammeh,Q30893871,Yankuba Drammeh
57872820,Mamadou Tangara,Q1888110,Mamadou Tangara
67225682,Fatou Sanyang Kinteh,Q61946976,Fatou Sanyang Kinteh
67385719,Amie Fabureh,Q62577118,Amie Fabureh
